"lwc","rwc","pac","pbc","lwp","rwp","pap","pbp","lwd","rwd","pad","pbd","wdrv","pdrv"
"29","49","1535","1427","0.80","1.36","42.58","39.58","22.00","23.08","73.75","73.33","pid","pid"
"167","212","1496","1577","4.63","5.88","41.50","43.75","56.50","60.92","73.67","73.42","pid","pid"
"225","229","1047","1041","6.24","6.35","29.03","28.86","65.17","57.08","62.50","62.58","pid","pid"
"220","132","1426","1430","6.10","3.66","39.57","39.68","65.42","38.92","72.75","73.92","pid","pid"
"180","71","1438","1408","4.99","1.97","39.87","39.03","65.67","38.42","71.83","70.58","pid","pid"
"108","73","974","974","3.00","2.03","27.07","27.07","3.75","4.50","61.67","61.75","pid","pid"
"10","19","1086","1065","0.28","0.53","30.06","29.48","0.83","12.17","63.00","63.00","pid","pid"
"24","45","1075","1085","0.66","1.25","29.76","30.04","22.08","22.75","63.00","63.08","pid","pid"
"61","49","1067","1071","1.69","1.36","29.56","29.67","31.00","31.58","63.25","63.08","pid","pid"
"60","77","1069","1093","1.66","2.13","29.60","30.27","40.17","41.33","62.83","62.92","pid","pid"
"192","171","1084","1078","5.32","4.74","30.03","29.86","51.75","51.83","62.83","62.92","pid","pid"
"9","7","704","728","0.25","0.19","19.49","20.15","0.00","0.00","51.00","51.92","pid","pid"
"0","1","661","724","0.00","0.03","18.30","20.04","0.00","0.00","50.83","52.42","pid","pid"
"0","1","729","691","0.00","0.03","20.17","19.12","0.00","0.00","52.08","50.92","pid","pid"
"0","1","677","713","0.00","0.03","18.73","19.73","0.00","0.00","51.75","51.67","pid","pid"
"17","7","965","947","0.47","0.19","26.64","26.14","32.50","21.42","61.83","61.83","pid","pid"
"201","158","1609","1567","5.57","4.38","44.62","43.46","39.33","37.00","73.58","73.17","pid","pid"
"210","165","1204","1190","5.84","4.59","33.48","33.09","37.00","34.50","62.00","62.50","pid","pid"
"191","155","1054","1046","5.29","4.29","29.20","28.98","36.00","35.83","63.17","63.17","pid","pid"
"184","167","1089","1071","5.10","4.63","30.17","29.67","36.25","35.92","63.92","63.92","pid","pid"
"164","140","1085","1097","4.54","3.88","30.05","30.38","30.17","29.25","62.67","63.00","pid","pid"
"131","115","1082","1085","3.63","3.18","29.94","30.03","25.75","24.75","62.83","63.17","pid","pid"
"25","23","1083","1084","0.69","0.64","29.97","30.00","3.92","2.75","62.75","62.75","pid","pid"
"21","14","1086","1096","0.58","0.39","30.04","30.32","7.92","3.75","62.83","62.92","pid","pid"
"24","48","1089","1088","0.66","1.33","30.12","30.09","13.58","22.00","62.75","63.08","pid","pid"
"51","65","1096","1072","1.41","1.80","30.34","29.67","26.33","22.42","62.75","63.25","pid","pid"
"88","66","1084","1080","2.43","1.83","29.99","29.88","31.92","32.92","62.75","63.00","pid","pid"
"108","141","1556","1534","2.99","3.90","43.04","42.43","36.75","36.50","74.17","73.75","pid","pid"
"180","175","1508","1422","4.99","4.85","41.82","39.43","37.00","35.75","66.42","66.08","pid","pid"
"159","143","1075","1029","4.40","3.96","29.74","28.47","36.92","34.92","62.58","63.00","pid","pid"
"159","131","1061","1074","4.40","3.63","29.36","29.72","26.92","26.83","62.50","62.92","pid","pid"
"116","90","1274","1298","3.20","2.49","35.19","35.85","8.50","9.92","73.08","73.00","pid","pid"
"27","120","1535","1624","0.75","3.32","42.43","44.89","36.75","42.58","74.25","75.08","pid","pid"
"257","201","1383","1402","7.11","5.56","38.25","38.78","70.00","52.75","72.33","72.92","pid","pid"
"276","254","1516","1516","7.64","7.03","41.97","41.97","59.25","68.25","73.17","72.17","pid","pid"
"234","248","1466","1521","6.47","6.86","40.53","42.05","67.83","58.50","72.50","72.50","pid","pid"
"258","276","1040","1043","7.15","7.64","28.80","28.89","66.58","66.42","62.75","62.75","pid","pid"
